"Date","Latitude","Longitude","Matrix","Subregion","cadmium","copper","mercury","selenium"
1996-07-11,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,2.5
1996-07-17,38.434929,-121.525161743164,"water","Sacramento River",0.012,2.33,0.00123,NA
1996-07-17,38.459202,-121.50309753418,"water","Sacramento River",0.022,2.13,0.00218,NA
1996-07-19,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,2.38
1996-07-22,38.020542,-121.806266784668,"water","Confluence",0.02,3.25,0.00086,0.096
1996-07-22,38.050999,-122.098999023438,"water","SW Suisun",0.033,3.81,0.011,0.159
1996-07-22,38.0597,-121.811264038086,"water","Confluence",0.007,3.29,0.00075,0.11
1996-07-22,38.067001,-121.93399810791,"water","NE Suisun",0.06,1.829,0.0235,0.11
1996-07-23,38.116001,-122.040000915527,"water","NW Suisun",0.037,1.999,0.00057,0.155
1996-07-25,37.675556,-121.264167785645,"water","South Delta",NA,8,NA,2.52
1996-08-02,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,1.82
1996-08-08,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,2.06
1996-08-15,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,1.83
1996-08-20,38.434929,-121.525161743164,"water","Sacramento River",0.013,0.94,0.00358,NA
1996-08-20,38.459202,-121.50309753418,"water","Sacramento River",0.011,0.95,0.00221,NA
1996-08-23,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,1.84
1996-08-28,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,2.01
1996-09-05,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,1.94
1996-09-12,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,1.88
1996-09-17,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.67
1996-09-17,38.434929,-121.525161743164,"water","Sacramento River",0.009,1.16,0.00132,NA
1996-09-17,38.459202,-121.50309753418,"water","Sacramento River",0.013,3.03,0.00566,NA
1996-09-26,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,1.11
1996-10-03,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,1.22
1996-10-08,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.86
1996-10-15,38.434929,-121.525161743164,"water","Sacramento River",0.032,0.98,0.00347,NA
1996-10-15,38.459202,-121.50309753418,"water","Sacramento River",0.018,1.54,0.00946,NA
1996-10-17,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.54
1996-10-24,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.54
1996-10-26,38.459202,-121.50309753418,"water","Sacramento River",0.017,2.04,0.00098,NA
1996-10-31,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.64
1996-11-07,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.97
1996-11-15,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.74
1996-11-19,38.434929,-121.525161743164,"water","Sacramento River",0.011,1.5,0.00266,NA
1996-11-19,38.459202,-121.50309753418,"water","Sacramento River",0.015,1.38,0.00559,NA
1996-11-22,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,1.29
1996-11-27,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.84
1996-12-06,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.28
1996-12-12,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.26
1996-12-17,38.459202,-121.50309753418,"water","Sacramento River",0.012,1.59,0.0132,NA
1996-12-18,38.434929,-121.525161743164,"water","Sacramento River",0.013,1.34,0.0134,NA
1996-12-19,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.21
1996-12-26,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.33
1997-01-20,38.459202,-121.50309753418,"water","Sacramento River",0.018,1.55,0.00263,NA
1997-01-24,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.39
1997-01-28,38.050999,-122.098999023438,"water","SW Suisun",0.00988129,2.30171,0.00615,0.154
1997-01-28,38.067001,-121.93399810791,"water","NE Suisun",0.00330492,1.72051,0.00179,0.116
1997-01-28,38.116001,-122.040000915527,"water","NW Suisun",0.0528897,2.82798,0.00772,0.131
1997-01-29,38.020542,-121.806266784668,"water","Confluence",0.00910763,4.75604,0.00841,0.169
1997-01-29,38.0597,-121.811264038086,"water","Confluence",0.00923753,2.04374,0.00333,0.103
1997-02-07,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.38
1997-02-13,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.56
1997-02-18,38.434929,-121.525161743164,"water","Sacramento River",0.024,9.99,0.00259,NA
1997-02-18,38.459202,-121.50309753418,"water","Sacramento River",0.025,6.79,0.0184,NA
1997-02-21,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.26
1997-02-26,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.41
1997-03-05,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.41
1997-03-12,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.78
1997-03-18,38.434929,-121.525161743164,"water","Sacramento River",0.023,2.02,0.00183,NA
1997-03-18,38.459202,-121.50309753418,"water","Sacramento River",0.013,1.23,0.00699,NA
1997-03-20,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,1.62
1997-03-27,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,1.26
1997-04-03,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,2.12
1997-04-10,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,2.93
1997-04-17,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,2.04
1997-04-22,38.067001,-121.93399810791,"water","NE Suisun",0.0194426,9.71433,0.00269,0.188
1997-04-22,38.116001,-122.040000915527,"water","NW Suisun",0.0505457,1.82726,0.000914,0.23
