"Date","Latitude","Longitude","Matrix","Subregion","fipronil","fipronil_desulfinyl","fipronil_desulfinyl_amide","fipronil_sulfide","fipronil_sulfone"
2007-07-24,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2007-07-25,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2007-08-07,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2007-08-21,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2007-08-22,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2007-09-13,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2007-09-24,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2007-09-27,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2007-10-30,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2007-11-27,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2007-11-28,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2007-12-04,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2007-12-11,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2007-12-18,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2007-12-19,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2008-01-08,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2008-01-29,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2008-01-30,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2008-02-05,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2008-02-06,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2008-02-20,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2008-02-21,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2008-03-11,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
