"Date","Latitude","Longitude","Matrix","Subregion","esfenvalerate","cyfluthrin","bifenthrin"
2010-03-16,38.1121,-121.61356,"water","Central Delta",0,0,0
2010-03-16,38.2283,-121.49013,"water","Central Delta",0,0,0
2010-03-24,38.05986,-121.49934,"water","Central Delta",0,0,0
2010-03-24,38.1121,-121.61356,"water","Central Delta",0,0,0
2010-03-24,38.2283,-121.49013,"water","Central Delta",0,0,0
2010-04-06,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2010-05-19,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2010-08-05,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2010-10-06,38.4347,-121.5192,"water","Sacramento River",0,0,7e-04
2010-10-06,38.459202,-121.5030975,"water","Sacramento River",0,0,0
2010-10-24,38.459202,-121.5030975,"water","Sacramento River",0,0,0
2010-10-26,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2010-11-09,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2010-12-06,38.459202,-121.5030975,"water","Sacramento River",0,0,0
2010-12-15,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2010-12-28,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2011-01-11,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2011-01-26,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2011-02-10,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2011-02-16,38.459202,-121.5030975,"water","Sacramento River",0,0,0
2011-02-19,38.234798,-121.681282,"water","North Delta",0,0,0
2011-02-19,38.24633,-121.7080994,"water","North Delta",0,0,0
2011-02-19,38.25528,-121.6669998,"water","North Delta",0,0,0
2011-02-19,38.27375,-121.6773605,"water","North Delta",0,0,0
2011-02-19,38.277748,-121.7101593,"water","North Delta",0,0,0.0066
2011-02-19,38.293228,-121.7408676,"water","North Delta",0,0,0
2011-02-22,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2011-03-15,38.234798,-121.681282,"water","North Delta",0,0,0
2011-03-15,38.24633,-121.7080994,"water","North Delta",0,0,0
2011-03-15,38.25528,-121.6669998,"water","North Delta",0,0,0
2011-03-15,38.27375,-121.6773605,"water","North Delta",0,0,0
2011-03-15,38.277748,-121.7101593,"water","North Delta",0,0,0
2011-03-15,38.293228,-121.7408676,"water","North Delta",0,0,0
2011-03-15,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2011-03-19,38.234798,-121.681282,"water","North Delta",0,0,0
