"Date","Latitude","Longitude","Matrix","Subregion","atrazine","imidacloprid","glyphosate","clothianidin"
1992-04-20,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1992-04-24,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-04-24,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1992-04-28,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-04-30,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-05-06,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-05-10,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-05-11,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1992-05-13,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1992-05-14,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-05-22,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-05-24,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-05-27,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-06-13,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-06-17,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-06-19,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1992-06-23,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-06-24,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1992-07-01,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-07-01,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1992-07-03,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-07-03,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1992-07-07,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-07-10,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1992-07-17,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-07-17,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1992-07-23,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-08-03,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1992-08-07,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-08-09,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-08-11,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-08-13,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-08-21,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1992-08-23,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-08-26,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
