"Subregion","Season","Turbidity_NTU","Analyte","Unit"
"Central Delta","Winter",25.9,"turbidity","NTU"
"Central Delta","Winter",20.7,"turbidity","NTU"
"Confluence","Winter",15.1,"turbidity","NTU"
"North Delta","Spring",3.2,"turbidity","NTU"
"Central Delta","Spring",15,"turbidity","NTU"
"Sacramento River","Spring",20,"turbidity","NTU"
"North Delta","Spring",27,"turbidity","NTU"
"Central Delta","Spring",22,"turbidity","NTU"
"Central Delta","Spring",6.1,"turbidity","NTU"
"South Delta","Spring",2.6,"turbidity","NTU"
"Central Delta","Spring",18,"turbidity","NTU"
"South Delta","Spring",6.3,"turbidity","NTU"
"Central Delta","Spring",4.8,"turbidity","NTU"
"Central Delta","Spring",32,"turbidity","NTU"
"Sacramento River","Spring",161.7,"turbidity","NTU"
"Sacramento River","Spring",16.8,"turbidity","NTU"
"North Delta","Spring",20.8,"turbidity","NTU"
"North Delta","Spring",25.8,"turbidity","NTU"
"Sacramento River","Spring",129.3,"turbidity","NTU"
"North Delta","Spring",9.2,"turbidity","NTU"
"North Delta","Spring",5.3,"turbidity","NTU"
"Sacramento River","Spring",26,"turbidity","NTU"
"Sacramento River","Spring",5.84,"turbidity","NTU"
"Sacramento River","Spring",31.3,"turbidity","NTU"
"Sacramento River","Spring",10.19,"turbidity","NTU"
"Sacramento River","Spring",6.19,"turbidity","NTU"
"Sacramento River","Spring",5.48,"turbidity","NTU"
"Sacramento River","Spring",24.73,"turbidity","NTU"
"Sacramento River","Spring",4.65,"turbidity","NTU"
"Sacramento River","Spring",26.1,"turbidity","NTU"
"Sacramento River","Spring",4.4,"turbidity","NTU"
"Sacramento River","Spring",33.3,"turbidity","NTU"
"Sacramento River","Spring",4.39,"turbidity","NTU"
"Sacramento River","Spring",26.5,"turbidity","NTU"
"Sacramento River","Spring",5.33,"turbidity","NTU"
"Sacramento River","Spring",13.3,"turbidity","NTU"
"North Delta","Spring",29.7,"turbidity","NTU"
"Sacramento River","Spring",16.8,"turbidity","NTU"
"Sacramento River","Spring",21.1,"turbidity","NTU"
"North Delta","Spring",20.2,"turbidity","NTU"
"Sacramento River","Spring",20.2,"turbidity","NTU"
"Sacramento River","Spring",13.9,"turbidity","NTU"
"North Delta","Spring",18,"turbidity","NTU"
"Sacramento River","Spring",12.7,"turbidity","NTU"
"Sacramento River","Spring",37.7,"turbidity","NTU"
"North Delta","Spring",23.2,"turbidity","NTU"
"Sacramento River","Spring",11.4,"turbidity","NTU"
"Central Delta","Spring",15,"turbidity","NTU"
"Central Delta","Spring",15,"turbidity","NTU"
"Central Delta","Spring",34,"turbidity","NTU"
"South Delta","Spring",25.5,"turbidity","NTU"
"Sacramento River","Spring",20,"turbidity","NTU"
"North Delta","Spring",23,"turbidity","NTU"
"North Delta","Spring",3.3,"turbidity","NTU"
"Sacramento River","Spring",5.95,"turbidity","NTU"
"Sacramento River","Spring",5.55,"turbidity","NTU"
"Sacramento River","Spring",4.62,"turbidity","NTU"
"Sacramento River","Spring",8.42,"turbidity","NTU"
"Sacramento River","Spring",6.33,"turbidity","NTU"
"Sacramento River","Spring",7.25,"turbidity","NTU"
"Sacramento River","Spring",5.62,"turbidity","NTU"
"Sacramento River","Spring",6.14,"turbidity","NTU"
"Sacramento River","Spring",7.86,"turbidity","NTU"
"Sacramento River","Spring",6.57,"turbidity","NTU"
"Sacramento River","Spring",5.42,"turbidity","NTU"
"Sacramento River","Spring",5.81,"turbidity","NTU"
"Sacramento River","Spring",5.59,"turbidity","NTU"
"Sacramento River","Spring",6.38,"turbidity","NTU"
"Sacramento River","Summer",58.1,"turbidity","NTU"
"Sacramento River","Summer",6.53,"turbidity","NTU"
"North Delta","Summer",58.1,"turbidity","NTU"
"Sacramento River","Summer",14.8,"turbidity","NTU"
"North Delta","Summer",141,"turbidity","NTU"
"Central Delta","Summer",8,"turbidity","NTU"
"Central Delta","Summer",9.4,"turbidity","NTU"
"South Delta","Summer",28,"turbidity","NTU"
"Central Delta","Summer",16,"turbidity","NTU"
"Sacramento River","Summer",13,"turbidity","NTU"
"Sacramento River","Summer",18,"turbidity","NTU"
"Sacramento River","Summer",17,"turbidity","NTU"
"North Delta","Summer",3,"turbidity","NTU"
"North Delta","Summer",3,"turbidity","NTU"
"Sacramento River","Summer",4.43,"turbidity","NTU"
"Sacramento River","Summer",4.55,"turbidity","NTU"
"Sacramento River","Summer",4.77,"turbidity","NTU"
"Sacramento River","Summer",5.46,"turbidity","NTU"
"Sacramento River","Summer",7.49,"turbidity","NTU"
"Sacramento River","Summer",8.12,"turbidity","NTU"
"Sacramento River","Summer",5.02,"turbidity","NTU"
"Sacramento River","Summer",4.61,"turbidity","NTU"
"Sacramento River","Summer",6.73,"turbidity","NTU"
"Sacramento River","Summer",3.67,"turbidity","NTU"
"Sacramento River","Summer",6.06,"turbidity","NTU"
"Sacramento River","Summer",5.86,"turbidity","NTU"
"Sacramento River","Summer",4.15,"turbidity","NTU"
"Sacramento River","Summer",4.32,"turbidity","NTU"
"Central Delta","Summer",35,"turbidity","NTU"
"Central Delta","Summer",27,"turbidity","NTU"
"South Delta","Summer",21,"turbidity","NTU"
