"Subregion","Season","Turbidity_NTU","Analyte","Unit"
"Confluence","Summer",31.2,"turbidity","NTU"
"Confluence","Summer",34.2,"turbidity","NTU"
"Confluence","Summer",9.4,"turbidity","NTU"
"Confluence","Summer",8.6,"turbidity","NTU"
"Sacramento River","Summer",10.5,"turbidity","NTU"
"Sacramento River","Summer",9.61,"turbidity","NTU"
"Sacramento River","Summer",10.6,"turbidity","NTU"
"Sacramento River","Summer",8.3,"turbidity","NTU"
"Sacramento River","Summer",3.16,"turbidity","NTU"
"Sacramento River","Summer",10.9,"turbidity","NTU"
"Sacramento River","Summer",6.5,"turbidity","NTU"
"Sacramento River","Summer",6.94,"turbidity","NTU"
"Sacramento River","Summer",3.13,"turbidity","NTU"
"Sacramento River","Summer",7.78,"turbidity","NTU"
"Sacramento River","Summer",6.03,"turbidity","NTU"
"Sacramento River","Summer",7.82,"turbidity","NTU"
"Sacramento River","Summer",4.81,"turbidity","NTU"
"Sacramento River","Summer",6.93,"turbidity","NTU"
"Sacramento River","Summer",8.55,"turbidity","NTU"
"Sacramento River","Summer",7.45,"turbidity","NTU"
"Sacramento River","Summer",6.16,"turbidity","NTU"
"Sacramento River","Summer",7.37,"turbidity","NTU"
"Sacramento River","Summer",9.46,"turbidity","NTU"
"Sacramento River","Summer",7.89,"turbidity","NTU"
"Sacramento River","Summer",2.79,"turbidity","NTU"
"Sacramento River","Summer",12,"turbidity","NTU"
"Sacramento River","Summer",15,"turbidity","NTU"
"Sacramento River","Summer",9.65,"turbidity","NTU"
"Sacramento River","Summer",5.92,"turbidity","NTU"
"Sacramento River","Summer",7.98,"turbidity","NTU"
"Sacramento River","Summer",6.55,"turbidity","NTU"
"Sacramento River","Summer",1.86,"turbidity","NTU"
"Sacramento River","Summer",7.24,"turbidity","NTU"
"Sacramento River","Summer",10.5,"turbidity","NTU"
"Sacramento River","Summer",7.44,"turbidity","NTU"
"Sacramento River","Summer",9.23,"turbidity","NTU"
"Confluence","Summer",10.9,"turbidity","NTU"
"Confluence","Summer",23,"turbidity","NTU"
"Confluence","Summer",2.2,"turbidity","NTU"
"Confluence","Summer",8.7,"turbidity","NTU"
"Confluence","Summer",42.7,"turbidity","NTU"
"Confluence","Summer",1.66,"turbidity","NTU"
"Confluence","Summer",14.2,"turbidity","NTU"
"Confluence","Summer",10.06,"turbidity","NTU"
"North Delta","Summer",29,"turbidity","NTU"
"Central Delta","Summer",13,"turbidity","NTU"
"Central Delta","Summer",33,"turbidity","NTU"
"Central Delta","Summer",18,"turbidity","NTU"
"Sacramento River","Summer",40,"turbidity","NTU"
"North Delta","Summer",4.2,"turbidity","NTU"
"South Delta","Summer",3.2,"turbidity","NTU"
"Sacramento River","Summer",6.69,"turbidity","NTU"
"Sacramento River","Summer",11.4,"turbidity","NTU"
"Sacramento River","Summer",11.2,"turbidity","NTU"
"Sacramento River","Summer",8.38,"turbidity","NTU"
"Sacramento River","Summer",2.19,"turbidity","NTU"
"Sacramento River","Summer",4.17,"turbidity","NTU"
"Sacramento River","Summer",10.4,"turbidity","NTU"
"Sacramento River","Summer",9.86,"turbidity","NTU"
"Central Delta","Summer",14.3,"turbidity","NTU"
"Central Delta","Summer",17.9,"turbidity","NTU"
"Central Delta","Summer",14.9,"turbidity","NTU"
"Central Delta","Summer",11.4,"turbidity","NTU"
"Central Delta","Summer",11.6,"turbidity","NTU"
"Central Delta","Summer",17.9,"turbidity","NTU"
"Central Delta","Summer",142,"turbidity","NTU"
"Central Delta","Summer",9,"turbidity","NTU"
"Central Delta","Summer",13.4,"turbidity","NTU"
"Central Delta","Summer",25.2,"turbidity","NTU"
"Sacramento River","Summer",2.12,"turbidity","NTU"
"Sacramento River","Summer",6.47,"turbidity","NTU"
"Sacramento River","Summer",7.27,"turbidity","NTU"
"Sacramento River","Summer",6.58,"turbidity","NTU"
"Sacramento River","Summer",6.64,"turbidity","NTU"
"Sacramento River","Summer",6.8,"turbidity","NTU"
"Sacramento River","Summer",5.49,"turbidity","NTU"
"Sacramento River","Summer",5.95,"turbidity","NTU"
"Confluence","Fall",26.3,"turbidity","NTU"
"Confluence","Fall",3.6,"turbidity","NTU"
"Confluence","Fall",14.5,"turbidity","NTU"
"Confluence","Fall",90.5,"turbidity","NTU"
"Confluence","Fall",22.5,"turbidity","NTU"
"Confluence","Fall",4,"turbidity","NTU"
"Confluence","Fall",44.7,"turbidity","NTU"
"Confluence","Fall",42.6,"turbidity","NTU"
"Confluence","Fall",17,"turbidity","NTU"
"Sacramento River","Fall",38,"turbidity","NTU"
"North Delta","Fall",4.9,"turbidity","NTU"
"Central Delta","Fall",85,"turbidity","NTU"
"Central Delta","Fall",11,"turbidity","NTU"
"Central Delta","Fall",20,"turbidity","NTU"
"South Delta","Fall",17,"turbidity","NTU"
"Confluence","Fall",15.9,"turbidity","NTU"
"Confluence","Fall",10.9,"turbidity","NTU"
"Confluence","Fall",7.74,"turbidity","NTU"
"Confluence","Fall",4.28,"turbidity","NTU"
"Sacramento River","Fall",36,"turbidity","NTU"
"North Delta","Fall",5.3,"turbidity","NTU"
"South Delta","Fall",22,"turbidity","NTU"
"Central Delta","Fall",12,"turbidity","NTU"
"Central Delta","Fall",14,"turbidity","NTU"
"Central Delta","Fall",310,"turbidity","NTU"
"Confluence","Fall",4.9,"turbidity","NTU"
"Confluence","Fall",3.1,"turbidity","NTU"
"Confluence","Fall",822,"turbidity","NTU"
"Confluence","Fall",4.03,"turbidity","NTU"
"Central Delta","Fall",40,"turbidity","NTU"
"Central Delta","Fall",22,"turbidity","NTU"
"Central Delta","Fall",9.2,"turbidity","NTU"
"North Delta","Fall",3.5,"turbidity","NTU"
"North Delta","Fall",75,"turbidity","NTU"
"Sacramento River","Fall",45,"turbidity","NTU"
"Central Delta","Fall",450,"turbidity","NTU"
"Central Delta","Fall",240,"turbidity","NTU"
"Central Delta","Fall",65,"turbidity","NTU"
"Confluence","Winter",3.5,"turbidity","NTU"
"Confluence","Winter",3.92,"turbidity","NTU"
"Confluence","Winter",7.9,"turbidity","NTU"
"Confluence","Winter",14.6,"turbidity","NTU"
"Confluence","Winter",2.79,"turbidity","NTU"
"North Delta","Winter",26,"turbidity","NTU"
"Sacramento River","Winter",50,"turbidity","NTU"
"Confluence","Winter",58.9,"turbidity","NTU"
"Confluence","Winter",53.7,"turbidity","NTU"
"Confluence","Winter",49.1,"turbidity","NTU"
"Confluence","Winter",16,"turbidity","NTU"
"Confluence","Winter",13,"turbidity","NTU"
"Confluence","Winter",51.8,"turbidity","NTU"
"Confluence","Winter",62.1,"turbidity","NTU"
"Confluence","Winter",53.9,"turbidity","NTU"
"Confluence","Winter",54.5,"turbidity","NTU"
"Confluence","Winter",18.3,"turbidity","NTU"
"Central Delta","Winter",32,"turbidity","NTU"
"Central Delta","Winter",50,"turbidity","NTU"
"Central Delta","Winter",75,"turbidity","NTU"
"Central Delta","Winter",34,"turbidity","NTU"
"South Delta","Winter",500,"turbidity","NTU"
"Central Delta","Winter",35,"turbidity","NTU"
"Central Delta","Winter",45,"turbidity","NTU"
"Confluence","Winter",22.9,"turbidity","NTU"
"Confluence","Winter",6.4,"turbidity","NTU"
"Confluence","Winter",31.9,"turbidity","NTU"
"Confluence","Winter",25.5,"turbidity","NTU"
"Confluence","Winter",26.2,"turbidity","NTU"
"Confluence","Winter",23.5,"turbidity","NTU"
"Confluence","Winter",30.4,"turbidity","NTU"
"Confluence","Winter",23.1,"turbidity","NTU"
"Confluence","Winter",39.9,"turbidity","NTU"
"Confluence","Winter",25.3,"turbidity","NTU"
"Central Delta","Winter",6.72,"turbidity","NTU"
"Central Delta","Winter",8.13,"turbidity","NTU"
"Central Delta","Winter",9.89,"turbidity","NTU"
"Central Delta","Winter",12.1,"turbidity","NTU"
"Confluence","Winter",18.7,"turbidity","NTU"
"Central Delta","Winter",7.26,"turbidity","NTU"
"Central Delta","Winter",7.68,"turbidity","NTU"
"Central Delta","Winter",14.1,"turbidity","NTU"
"Central Delta","Winter",4.42,"turbidity","NTU"
"Confluence","Spring",4.9,"turbidity","NTU"
"Confluence","Spring",12,"turbidity","NTU"
"Confluence","Spring",32.9,"turbidity","NTU"
"Confluence","Spring",12.2,"turbidity","NTU"
"Confluence","Spring",12.5,"turbidity","NTU"
"Confluence","Spring",13.7,"turbidity","NTU"
"Confluence","Spring",11.6,"turbidity","NTU"
"Confluence","Spring",34,"turbidity","NTU"
"Confluence","Spring",11.4,"turbidity","NTU"
"Confluence","Spring",11.9,"turbidity","NTU"
"Central Delta","Spring",27,"turbidity","NTU"
"South Delta","Spring",8.1,"turbidity","NTU"
"Central Delta","Spring",19,"turbidity","NTU"
"Central Delta","Spring",50,"turbidity","NTU"
"Central Delta","Spring",2.03,"turbidity","NTU"
"Central Delta","Spring",2.42,"turbidity","NTU"
"Central Delta","Spring",0.96,"turbidity","NTU"
"Central Delta","Spring",1.87,"turbidity","NTU"
"Central Delta","Spring",4.28,"turbidity","NTU"
"Confluence","Spring",27.7,"turbidity","NTU"
"Central Delta","Spring",3.04,"turbidity","NTU"
"Central Delta","Spring",2.75,"turbidity","NTU"
"Central Delta","Spring",1.3,"turbidity","NTU"
"Central Delta","Spring",26,"turbidity","NTU"
"Central Delta","Spring",10,"turbidity","NTU"
"Central Delta","Spring",24,"turbidity","NTU"
"South Delta","Spring",6.4,"turbidity","NTU"
"Confluence","Spring",9.74,"turbidity","NTU"
"Confluence","Spring",6.41,"turbidity","NTU"
"Confluence","Spring",6.46,"turbidity","NTU"
"Confluence","Spring",1.39,"turbidity","NTU"
"Confluence","Spring",2.33,"turbidity","NTU"
"Confluence","Spring",2.49,"turbidity","NTU"
"Confluence","Spring",3.44,"turbidity","NTU"
"Confluence","Spring",1.75,"turbidity","NTU"
"Confluence","Spring",2.19,"turbidity","NTU"
"Central Delta","Spring",3.41,"turbidity","NTU"
"Central Delta","Spring",2.73,"turbidity","NTU"
"Central Delta","Spring",1.9,"turbidity","NTU"
"Central Delta","Spring",8.12,"turbidity","NTU"
"Central Delta","Spring",7.7,"turbidity","NTU"
"Central Delta","Spring",37.1,"turbidity","NTU"
"Central Delta","Spring",2.05,"turbidity","NTU"
"Confluence","Spring",43.6,"turbidity","NTU"
"Central Delta","Spring",14.8,"turbidity","NTU"
"Confluence","Spring",2.4,"turbidity","NTU"
"Confluence","Spring",1.2,"turbidity","NTU"
"Confluence","Spring",1.3,"turbidity","NTU"
"Confluence","Spring",2.7,"turbidity","NTU"
"Confluence","Spring",1.3,"turbidity","NTU"
"Confluence","Spring",2.3,"turbidity","NTU"
"Confluence","Spring",27,"turbidity","NTU"
"Confluence","Spring",24.5,"turbidity","NTU"
"Confluence","Spring",2.1,"turbidity","NTU"
"Confluence","Spring",3.7,"turbidity","NTU"
"Central Delta","Spring",13.8,"turbidity","NTU"
"Central Delta","Spring",8.29,"turbidity","NTU"
"Central Delta","Spring",8.8,"turbidity","NTU"
"Central Delta","Spring",6.88,"turbidity","NTU"
"Central Delta","Spring",6.41,"turbidity","NTU"
"Central Delta","Spring",32.3,"turbidity","NTU"
"Central Delta","Spring",14.6,"turbidity","NTU"
"Central Delta","Spring",18.6,"turbidity","NTU"
"Central Delta","Spring",4.99,"turbidity","NTU"
"Central Delta","Spring",3.85,"turbidity","NTU"
"Central Delta","Spring",7.35,"turbidity","NTU"
"Central Delta","Spring",8.64,"turbidity","NTU"
"Central Delta","Spring",8.33,"turbidity","NTU"
"Confluence","Spring",8.17,"turbidity","NTU"
"Central Delta","Spring",45,"turbidity","NTU"
"Central Delta","Spring",26,"turbidity","NTU"
"Central Delta","Spring",17,"turbidity","NTU"
"South Delta","Spring",2.5,"turbidity","NTU"
"Central Delta","Spring",4.59,"turbidity","NTU"
"Central Delta","Spring",8.92,"turbidity","NTU"
"Central Delta","Spring",28.2,"turbidity","NTU"
"Central Delta","Spring",10.4,"turbidity","NTU"
"Central Delta","Spring",13.8,"turbidity","NTU"
"Central Delta","Spring",6.11,"turbidity","NTU"
"Central Delta","Spring",3.83,"turbidity","NTU"
"Central Delta","Spring",8.08,"turbidity","NTU"
"Central Delta","Spring",2.85,"turbidity","NTU"
"Central Delta","Spring",3.28,"turbidity","NTU"
"Central Delta","Spring",8.3,"turbidity","NTU"
"Central Delta","Spring",12,"turbidity","NTU"
"Central Delta","Spring",9.4,"turbidity","NTU"
"Confluence","Summer",3.2,"turbidity","NTU"
"Confluence","Summer",9.25,"turbidity","NTU"
"Confluence","Summer",21.4,"turbidity","NTU"
"Confluence","Summer",9.2,"turbidity","NTU"
"Confluence","Summer",48.1,"turbidity","NTU"
"Confluence","Summer",5.1,"turbidity","NTU"
"Confluence","Summer",3.2,"turbidity","NTU"
"Confluence","Summer",15.7,"turbidity","NTU"
"Confluence","Summer",3.2,"turbidity","NTU"
"Confluence","Summer",1.4,"turbidity","NTU"
"Confluence","Summer",7.5,"turbidity","NTU"
"Confluence","Summer",7.4,"turbidity","NTU"
"Confluence","Summer",3.4,"turbidity","NTU"
"Confluence","Summer",10.2,"turbidity","NTU"
"Confluence","Summer",3.8,"turbidity","NTU"
"Confluence","Summer",18.1,"turbidity","NTU"
"Confluence","Summer",3.8,"turbidity","NTU"
"Confluence","Summer",3.3,"turbidity","NTU"
"Central Delta","Summer",3.6,"turbidity","NTU"
"Central Delta","Summer",6.1,"turbidity","NTU"
"Central Delta","Summer",9.01,"turbidity","NTU"
"Central Delta","Summer",3.8,"turbidity","NTU"
"Central Delta","Summer",4.4,"turbidity","NTU"
"Central Delta","Summer",4.4,"turbidity","NTU"
"Central Delta","Summer",5.3,"turbidity","NTU"
"Central Delta","Summer",4.4,"turbidity","NTU"
"Confluence","Summer",25.7,"turbidity","NTU"
"Central Delta","Summer",5.11,"turbidity","NTU"
"Central Delta","Summer",13,"turbidity","NTU"
"Central Delta","Summer",7.3,"turbidity","NTU"
"Central Delta","Summer",12.7,"turbidity","NTU"
"Central Delta","Summer",23.6,"turbidity","NTU"
"Central Delta","Summer",26.4,"turbidity","NTU"
"Central Delta","Summer",5.1,"turbidity","NTU"
"Central Delta","Summer",15,"turbidity","NTU"
"Central Delta","Summer",7.05,"turbidity","NTU"
"Central Delta","Summer",8.54,"turbidity","NTU"
"Central Delta","Summer",36,"turbidity","NTU"
"Central Delta","Summer",4.73,"turbidity","NTU"
"Central Delta","Summer",6.4,"turbidity","NTU"
"Central Delta","Summer",6.26,"turbidity","NTU"
"Central Delta","Summer",12.4,"turbidity","NTU"
"Central Delta","Summer",5.15,"turbidity","NTU"
"Central Delta","Summer",9.77,"turbidity","NTU"
"Central Delta","Summer",5.53,"turbidity","NTU"
"Central Delta","Summer",5.91,"turbidity","NTU"
"Central Delta","Summer",4.84,"turbidity","NTU"
"Central Delta","Summer",4.51,"turbidity","NTU"
"Central Delta","Summer",18.9,"turbidity","NTU"
"Central Delta","Summer",8.68,"turbidity","NTU"
"Central Delta","Summer",6.75,"turbidity","NTU"
"Central Delta","Summer",7.63,"turbidity","NTU"
"Central Delta","Summer",17,"turbidity","NTU"
"Central Delta","Summer",38,"turbidity","NTU"
"Central Delta","Summer",550,"turbidity","NTU"
"South Delta","Summer",4.3,"turbidity","NTU"
"Central Delta","Summer",5.88,"turbidity","NTU"
"Central Delta","Summer",10.5,"turbidity","NTU"
"Central Delta","Summer",9.69,"turbidity","NTU"
"Central Delta","Summer",7.04,"turbidity","NTU"
"Central Delta","Summer",4.26,"turbidity","NTU"
"Central Delta","Summer",2.73,"turbidity","NTU"
"Central Delta","Summer",4.46,"turbidity","NTU"
"Central Delta","Summer",9.91,"turbidity","NTU"
"Central Delta","Summer",6.73,"turbidity","NTU"
"Central Delta","Summer",25.7,"turbidity","NTU"
"Central Delta","Summer",9.82,"turbidity","NTU"
"Central Delta","Summer",7.02,"turbidity","NTU"
"Central Delta","Summer",18.2,"turbidity","NTU"
"Central Delta","Summer",14.2,"turbidity","NTU"
"Central Delta","Summer",8.34,"turbidity","NTU"
"Central Delta","Summer",19.4,"turbidity","NTU"
"Central Delta","Summer",16.1,"turbidity","NTU"
"Central Delta","Summer",4.27,"turbidity","NTU"
"Central Delta","Summer",8.1,"turbidity","NTU"
"Central Delta","Summer",4.83,"turbidity","NTU"
"Central Delta","Summer",13.8,"turbidity","NTU"
"Central Delta","Summer",13.7,"turbidity","NTU"
"Confluence","Summer",35.2,"turbidity","NTU"
"Central Delta","Summer",12.5,"turbidity","NTU"
"Central Delta","Summer",10.1,"turbidity","NTU"
"Central Delta","Summer",25.1,"turbidity","NTU"
"Central Delta","Summer",13.3,"turbidity","NTU"
"Central Delta","Summer",12,"turbidity","NTU"
"Central Delta","Summer",16.2,"turbidity","NTU"
"Central Delta","Summer",38.1,"turbidity","NTU"
"Central Delta","Summer",24.3,"turbidity","NTU"
"Central Delta","Summer",14,"turbidity","NTU"
"Central Delta","Summer",12.7,"turbidity","NTU"
"Central Delta","Summer",10,"turbidity","NTU"
"Central Delta","Summer",10.3,"turbidity","NTU"
"Central Delta","Summer",5.21,"turbidity","NTU"
"Central Delta","Summer",30.4,"turbidity","NTU"
"Central Delta","Summer",44.6,"turbidity","NTU"
"Central Delta","Summer",7.41,"turbidity","NTU"
"Central Delta","Summer",7.19,"turbidity","NTU"
"Central Delta","Summer",23,"turbidity","NTU"
"Central Delta","Summer",38,"turbidity","NTU"
"South Delta","Summer",2,"turbidity","NTU"
"Central Delta","Summer",26,"turbidity","NTU"
"Central Delta","Summer",16.1,"turbidity","NTU"
"Central Delta","Summer",26.1,"turbidity","NTU"
"Central Delta","Summer",8.03,"turbidity","NTU"
"Central Delta","Summer",5.08,"turbidity","NTU"
"Central Delta","Summer",9.01,"turbidity","NTU"
"Central Delta","Summer",14,"turbidity","NTU"
"Central Delta","Summer",6.6,"turbidity","NTU"
"Central Delta","Summer",5.66,"turbidity","NTU"
"Central Delta","Summer",9.99,"turbidity","NTU"
"Central Delta","Summer",7.65,"turbidity","NTU"
"Confluence","Summer",15.2,"turbidity","NTU"
"Confluence","Summer",36.9,"turbidity","NTU"
"Confluence","Summer",30.5,"turbidity","NTU"
"Confluence","Summer",26.3,"turbidity","NTU"
"Confluence","Summer",2.5,"turbidity","NTU"
"Confluence","Summer",3.2,"turbidity","NTU"
"Confluence","Summer",44.8,"turbidity","NTU"
"Confluence","Summer",34.8,"turbidity","NTU"
"Confluence","Summer",17.1,"turbidity","NTU"
"Central Delta","Summer",16.9,"turbidity","NTU"
"Central Delta","Summer",26.2,"turbidity","NTU"
"Central Delta","Summer",5.62,"turbidity","NTU"
"Central Delta","Summer",11.4,"turbidity","NTU"
"Central Delta","Summer",7,"turbidity","NTU"
"Central Delta","Summer",14,"turbidity","NTU"
"Central Delta","Summer",27.1,"turbidity","NTU"
"Central Delta","Summer",9.66,"turbidity","NTU"
"Central Delta","Summer",13.3,"turbidity","NTU"
"Central Delta","Summer",10.7,"turbidity","NTU"
"Central Delta","Summer",12.9,"turbidity","NTU"
"Central Delta","Summer",10.8,"turbidity","NTU"
"Central Delta","Summer",12.6,"turbidity","NTU"
"Confluence","Summer",24.9,"turbidity","NTU"
"Central Delta","Summer",11.7,"turbidity","NTU"
"Central Delta","Summer",34.5,"turbidity","NTU"
"Central Delta","Summer",6.53,"turbidity","NTU"
"Central Delta","Summer",8.77,"turbidity","NTU"
"Central Delta","Summer",11.8,"turbidity","NTU"
"Central Delta","Summer",8.4,"turbidity","NTU"
"Central Delta","Summer",8.4,"turbidity","NTU"
"Central Delta","Summer",7.34,"turbidity","NTU"
"Central Delta","Summer",10.5,"turbidity","NTU"
"Central Delta","Summer",5.66,"turbidity","NTU"
"Central Delta","Summer",36.5,"turbidity","NTU"
"Central Delta","Summer",8.25,"turbidity","NTU"
"Central Delta","Summer",19.2,"turbidity","NTU"
"Central Delta","Summer",6.95,"turbidity","NTU"
"Central Delta","Summer",44.8,"turbidity","NTU"
"Central Delta","Summer",6.56,"turbidity","NTU"
"Central Delta","Summer",36.2,"turbidity","NTU"
"Central Delta","Summer",20.4,"turbidity","NTU"
"Central Delta","Summer",6.75,"turbidity","NTU"
"Central Delta","Summer",8.09,"turbidity","NTU"
"Central Delta","Summer",4.98,"turbidity","NTU"
"Central Delta","Summer",8.79,"turbidity","NTU"
"Central Delta","Summer",4.35,"turbidity","NTU"
"Confluence","Summer",15.6,"turbidity","NTU"
"Confluence","Summer",2,"turbidity","NTU"
"Confluence","Summer",74.8,"turbidity","NTU"
"Confluence","Summer",21.9,"turbidity","NTU"
"Confluence","Summer",23.5,"turbidity","NTU"
"Confluence","Summer",4.4,"turbidity","NTU"
"Confluence","Summer",24.2,"turbidity","NTU"
"Confluence","Summer",25.3,"turbidity","NTU"
"Confluence","Summer",37.1,"turbidity","NTU"
"Confluence","Summer",2,"turbidity","NTU"
"Central Delta","Summer",33,"turbidity","NTU"
"Central Delta","Summer",3.14,"turbidity","NTU"
"Central Delta","Summer",6.29,"turbidity","NTU"
"Central Delta","Summer",120,"turbidity","NTU"
"Central Delta","Summer",3.29,"turbidity","NTU"
"Central Delta","Summer",7.21,"turbidity","NTU"
"Central Delta","Summer",124,"turbidity","NTU"
"Central Delta","Summer",18.4,"turbidity","NTU"
"Central Delta","Summer",12.3,"turbidity","NTU"
"Central Delta","Summer",8.81,"turbidity","NTU"
"Central Delta","Summer",33,"turbidity","NTU"
"Central Delta","Summer",27,"turbidity","NTU"
"Central Delta","Summer",14,"turbidity","NTU"
"South Delta","Summer",2.2,"turbidity","NTU"
"Central Delta","Summer",5.08,"turbidity","NTU"
"Central Delta","Summer",3.52,"turbidity","NTU"
"Central Delta","Summer",3.78,"turbidity","NTU"
"Central Delta","Summer",5.93,"turbidity","NTU"
"Central Delta","Summer",26.6,"turbidity","NTU"
"Central Delta","Summer",4.7,"turbidity","NTU"
"Central Delta","Summer",15.4,"turbidity","NTU"
"Central Delta","Summer",9.19,"turbidity","NTU"
"Central Delta","Summer",6.65,"turbidity","NTU"
"Central Delta","Summer",21.9,"turbidity","NTU"
"Central Delta","Summer",3.67,"turbidity","NTU"
"Central Delta","Summer",52.5,"turbidity","NTU"
"Central Delta","Summer",56.7,"turbidity","NTU"
"Central Delta","Summer",27.2,"turbidity","NTU"
"Central Delta","Summer",9.92,"turbidity","NTU"
"Central Delta","Summer",9.12,"turbidity","NTU"
"Central Delta","Summer",9.7,"turbidity","NTU"
"Central Delta","Summer",10.7,"turbidity","NTU"
"Confluence","Summer",26.9,"turbidity","NTU"
"Central Delta","Summer",5.02,"turbidity","NTU"
"Central Delta","Summer",105,"turbidity","NTU"
"Central Delta","Summer",6.34,"turbidity","NTU"
"Central Delta","Summer",19.9,"turbidity","NTU"
"Central Delta","Summer",16.7,"turbidity","NTU"
"Central Delta","Summer",9.8,"turbidity","NTU"
"Central Delta","Summer",23.8,"turbidity","NTU"
"Central Delta","Summer",13,"turbidity","NTU"
"Central Delta","Summer",15.8,"turbidity","NTU"
"Central Delta","Summer",7.21,"turbidity","NTU"
"Central Delta","Summer",30.8,"turbidity","NTU"
"Central Delta","Summer",17.7,"turbidity","NTU"
"Central Delta","Summer",10.1,"turbidity","NTU"
"Confluence","Fall",1.9,"turbidity","NTU"
"Confluence","Fall",6.3,"turbidity","NTU"
"Confluence","Fall",3.1,"turbidity","NTU"
"Confluence","Fall",16.6,"turbidity","NTU"
"Confluence","Fall",30.3,"turbidity","NTU"
"Confluence","Fall",46.1,"turbidity","NTU"
"Confluence","Fall",2.3,"turbidity","NTU"
"Confluence","Fall",14.2,"turbidity","NTU"
"Confluence","Fall",19,"turbidity","NTU"
"Confluence","Fall",30.3,"turbidity","NTU"
"Central Delta","Fall",6.66,"turbidity","NTU"
"Central Delta","Fall",9.12,"turbidity","NTU"
"Central Delta","Fall",41,"turbidity","NTU"
"Central Delta","Fall",7.27,"turbidity","NTU"
"Central Delta","Fall",29.9,"turbidity","NTU"
"Central Delta","Fall",10.8,"turbidity","NTU"
"Central Delta","Fall",10.2,"turbidity","NTU"
"Central Delta","Fall",37.1,"turbidity","NTU"
"Central Delta","Fall",7.93,"turbidity","NTU"
"Central Delta","Fall",7.39,"turbidity","NTU"
"Central Delta","Fall",6.03,"turbidity","NTU"
"Central Delta","Fall",11.5,"turbidity","NTU"
"Central Delta","Fall",42.2,"turbidity","NTU"
"Central Delta","Fall",15.6,"turbidity","NTU"
"Central Delta","Fall",6.71,"turbidity","NTU"
"Central Delta","Fall",4.57,"turbidity","NTU"
"Central Delta","Fall",88.5,"turbidity","NTU"
"Central Delta","Fall",13.9,"turbidity","NTU"
"Central Delta","Fall",13.6,"turbidity","NTU"
"Central Delta","Fall",38.8,"turbidity","NTU"
"Central Delta","Fall",35,"turbidity","NTU"
"Central Delta","Fall",15,"turbidity","NTU"
"Central Delta","Fall",31,"turbidity","NTU"
"South Delta","Fall",1.8,"turbidity","NTU"
"Central Delta","Fall",3.79,"turbidity","NTU"
"Central Delta","Fall",12.2,"turbidity","NTU"
"Central Delta","Fall",33.7,"turbidity","NTU"
"Central Delta","Fall",11.5,"turbidity","NTU"
"Central Delta","Fall",10.1,"turbidity","NTU"
"Central Delta","Fall",11.6,"turbidity","NTU"
"Central Delta","Fall",8.1,"turbidity","NTU"
"Central Delta","Fall",6.08,"turbidity","NTU"
"Central Delta","Fall",5.05,"turbidity","NTU"
"Central Delta","Fall",5.08,"turbidity","NTU"
"Central Delta","Fall",6.13,"turbidity","NTU"
"Central Delta","Fall",18,"turbidity","NTU"
"Central Delta","Fall",4.44,"turbidity","NTU"
"Central Delta","Fall",4.82,"turbidity","NTU"
"Central Delta","Fall",23.7,"turbidity","NTU"
"Central Delta","Fall",9.2,"turbidity","NTU"
"Central Delta","Fall",17.6,"turbidity","NTU"
"Central Delta","Fall",4.8,"turbidity","NTU"
"Central Delta","Fall",3.83,"turbidity","NTU"
"Central Delta","Fall",6.24,"turbidity","NTU"
"Sacramento River","Spring",25.3,"turbidity","NTU"
"Sacramento River","Spring",33.3,"turbidity","NTU"
"Central Delta","Spring",4.47,"turbidity","NTU"
"Sacramento River","Summer",1.86,"turbidity","NTU"
"Central Delta","Spring",0,"turbidity","NTU"
